paper_id,title,author_year,has_human,has_agent,human_AI_Literacies,agent_AI_Literacies,agree_AI_Literacies,human_Generative_KI,agent_Generative_KI,agree_Generative_KI,human_Prompting,agent_Prompting,agree_Prompting,human_KI_Sonstige,agent_KI_Sonstige,agree_KI_Sonstige,human_Soziale_Arbeit,agent_Soziale_Arbeit,agree_Soziale_Arbeit,human_Bias_Ungleichheit,agent_Bias_Ungleichheit,agree_Bias_Ungleichheit,human_Gender,agent_Gender,agree_Gender,human_Diversitaet,agent_Diversitaet,agree_Diversitaet,human_Feministisch,agent_Feministisch,agree_Feministisch,human_Fairness,agent_Fairness,agree_Fairness,human_decision,agent_decision,agree_decision,human_exclusion_reason,agent_exclusion_reason,human_studientyp,agent_studientyp,agent_confidence,agent_reasoning,category_agreements,category_total,category_agreement_rate
AIGLDZ4C,How to Create Inclusive AI Images: A Guide to Bias-Free Prompting,Articulate (2025),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Include,Nein,Wrong publication type,,Unclear,Konzept,0.82,"Das Paper behandelt substantiell Prompt-Engineering für generative KI-Bildgeneratoren mit explizitem Fokus auf Bias (stereotypische Repräsentationen: weiß, männlich, jung) und Diversität/Inklusion. Gender und Diversität sind zentrale Themen. Technische Kategorien (Generative_KI, Prompting) und soziale Kategorien (Bias_Ungleichheit, Gender, Diversitaet) sind erfüllt → Include. Kein direkter Soziale_Arbeit-Bezug, kein explizit feministisches Framework.",10,10,100.00%
AIZGTQKG,Gender bias in artificial intelligence: Empowering women through digital literacy,Shah (2025),Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Literaturreview,Literaturreview,0.92,"Das Paper behandelt substantiell Gender Bias in KI-Systemen (Hiring, Healthcare, Finance) und Digital Literacy als Intervention – beide Kernkategorien sind klar erfüllt. KI_Sonstige: algorithmische Entscheidungssysteme mit Bias. AI_Literacies: digitale Kompetenzprogramme für Frauen. Bias_Ungleichheit, Gender, Diversität und Fairness sind explizite Themen. Feministisch: keine explizite feministische Theorie oder Referenz auf feministische Autor:innen erkennbar.",9,10,90.00%
AK7K4P97,Artificial intelligence in social work: An EPIC model for practice,Baker (2025),Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Exclude,Include,Nein,,,Literaturreview,Konzept,0.95,"Das Paper präsentiert ein konzeptuelles Modell (EPIC) zur Integration von KI in die Soziale Arbeit. Es adressiert KI-Kompetenzen (AI Digital Literacy), algorithmische Systeme im Sozialbereich, direkte Bezüge zur Sozialen Arbeit, Fragen der sozialen Gerechtigkeit/Ungleichheit, Fairness und Inklusion vulnerabler Gruppen. Beide Bedingungen (TECHNIK und SOZIAL) sind klar erfüllt.",7,10,70.00%
AMYZFAPH,Recommendations for social work researchers and journal editors on the use of generative AI and large language models,Perron et al. (2023),Nein,Ja,,Ja,,,Ja,,,Ja,,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Include,,,,,Konzept,0.95,"Das Paper richtet sich explizit an Soziale-Arbeit-Forschende und Journalredakteure und behandelt den Einsatz generativer KI/LLMs in der sozialarbeiterischen Forschungspraxis. Prompt Engineering wird als substantielles Thema adressiert. AI Literacy (kritische Auseinandersetzung mit KI-Outputs) ist zentral. Alle drei Technik-Kategorien (Generative_KI, Prompting, AI_Literacies) sowie Soziale_Arbeit sind klar erfüllt.",0,0,
AXEIVEW3,Artificial Intelligence Competence Needs for Youth Workers,Lanzetta (2024),Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Include,Include,Ja,,,Empirisch,Empirisch,0.92,"Das Paper behandelt substantiell KI-Kompetenzen (AI Competence Framework) für Jugendarbeiter:innen und adressiert damit AI_Literacies direkt. Generative KI wird explizit erwähnt (Gen Z als aktivste Nutzer:innen). Jugendarbeit ist ein anerkanntes Feld der Sozialen Arbeit, sodass Soziale_Arbeit klar erfüllt ist. Mixed-Methods-Ansatz (Systematic Review, Fokusgruppen, Interviews) macht es zu einer empirischen Studie.",9,10,90.00%
BBLJ4RG3,Developing an artificial intelligence literacy framework: Evaluation of a literacy course for senior secondary students using a project-based learning approach,Kong (2024),Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Include,Exclude,Nein,,Not_relevant_topic,Empirisch,Empirisch,0.75,"Das Paper behandelt AI Literacy (Framework-Entwicklung und Kursevaluation für Sekundarschüler mit projektbasiertem Lernen), erfüllt damit die TECHNIK-Bedingung. Jedoch fehlt der SOZIAL-Aspekt: Kein Bezug zu Soziale_Arbeit, Bias_Ungleichheit, Gender, Diversität, feministischer Theorie oder Fairness erkennbar. Es handelt sich um ein bildungswissenschaftliches Paper ohne relevante soziale Dimensionen im Sinne der Reviewkriterien.",7,10,70.00%
BCBWSU3Z,Can LLMs reason about trust? A pilot study,Debnath (2024),Ja,Ja,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,Exclude,Exclude,Ja,Duplicate,Not_relevant_topic,,Empirisch,0.85,"Das Paper untersucht LLMs' Fähigkeit, über Vertrauen zu reasoning – ein technisch-kognitives Thema. Es fehlt ein substantieller Bezug zu sozialen Kategorien wie Soziale Arbeit, Bias/Ungleichheit, Gender, Diversität, feministischer Theorie oder Fairness. Vertrauen wird als kognitiv-soziales Konzept untersucht, aber ohne Bezug zu Diskriminierung, sozialer Arbeit oder relevanten sozialen Ungleichheitsdimensionen.",0,0,
BDBYDLVK,A reparative turn in AI,Singh (2025),Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Empirisch,Empirisch,0.8,Das Paper analysiert 1.060 reale KI-Schadensfälle (KI_Sonstige) und thematisiert substantiell Verantwortlichkeitslücken und Schadensbehebung bei algorithmischen Systemen. Es adressiert Fairness durch den Fokus auf Reparation und Accountability-Mechanismen sowie Bias_Ungleichheit durch die Analyse des 'accountability gap' bei Unternehmensreaktionen auf KI-Schäden. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt.,8,10,80.00%
BDI6XU5A,Gender und KI-Anwendungen. Trägt KI zum Genderproblem oder zu seiner Lösung bei?,Franken & Mauritz (n.d.),Nein,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Ja,,,Nein,,,Nein,,,Nein,,,Include,,,,,Unclear,0.6,"Der Titel deutet klar auf eine Auseinandersetzung mit KI-Anwendungen (KI_Sonstige) und Gender-Problematiken (Gender, Bias_Ungleichheit) hin. Die Fragestellung, ob KI zum Genderproblem beiträgt oder es löst, impliziert eine Analyse von Bias und Ungleichheit im KI-Kontext. Kein Abstract verfügbar, daher moderate Konfidenz. Technische (KI_Sonstige) und soziale Kriterien (Gender, Bias_Ungleichheit) sind erfüllt → Include.",0,0,
BFG8VUK3,Gender Bias in Artificial Intelligence: Empowering Women Through Digital Literacy,Quaid-i-Azam University (2025),Ja,Ja,Ja,Ja,Ja,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Ja,,,Ja,,,Nein,,,Ja,,Exclude,Include,Nein,Duplicate,,,Literaturreview,0.95,"Das Paper behandelt substantiell Gender Bias in KI-Systemen (Recruitment, Healthcare, Financial Services), algorithmische Diskriminierung und digitale Kompetenz als Empowerment-Tool für Frauen. TECHNIK_OK: AI_Literacies (Digital Literacy für KI) und KI_Sonstige (algorithmische Systeme). SOZIAL_OK: Gender, Bias_Ungleichheit, Diversität, Fairness alle klar adressiert. Narrativer Literaturreview 2010-2024.",1,1,100.00%
BHXDU7VM,How People Use ChatGPT,Chatterji et al. (2025),Nein,Ja,,Nein,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,,Exclude,,,Not_relevant_topic,,Unclear,0.5,"Der Titel deutet auf eine Studie zur ChatGPT-Nutzung hin (Generative_KI = Ja), jedoch fehlt jeglicher sozialer Bezug (Bias, Gender, Soziale Arbeit etc.). Der Abstract liefert nur eine institutionelle Beschreibung des NBER ohne inhaltliche Information zum Paper. Kein SOZIAL-Kriterium erfüllt, daher Exclude.",0,0,
BJZYGNEE,Shaping feminist artificial intelligence,Toupin (2024),Ja,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Ja,,,Ja,,,Ja,,,Nein,,Exclude,Include,Nein,Duplicate,,,Theoretisch,0.85,"Das Paper entwickelt eine umfassende Typologie der Schnittmengen von Feminismus und KI. Es behandelt KI-Systeme (KI_Sonstige) aus explizit feministischer Perspektive, analysiert Gender-Bias und masculine-coded AI-Systeme (Gender, Feministisch), und thematisiert soziale Ungleichheit sowie Diversität durch partizipative Designansätze. Prompting wird nur am Rande erwähnt, kein substantieller Fokus darauf. TECHNIK_OK und SOZIAL_OK erfüllt.",0,0,
BKSU66QB,Digitalität und Digitalisierung als Gegenstand der Sozialen Arbeit,Kutscher (2024),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Include,Nein,Not relevant topic,,Unclear,Theoretisch,0.85,"Das Paper behandelt algorithmische und datengetriebene Systeme (KI_Sonstige) im Kontext Sozialer Arbeit (Soziale_Arbeit) und analysiert deren Auswirkungen auf soziale Ungleichheiten, Machtverhältnisse und Überwachungsmechanismen (Bias_Ungleichheit). Es ist ein theoretischer Beitrag, der die kritische Auseinandersetzung mit digitalen Transformationen in der Sozialen Arbeit fordert.",8,10,80.00%
BR2LG8LD,How AI hype impacts the LGBTQ+ community,Kumar (2024),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Exclude,Include,Nein,Not relevant topic,,Theoretisch,Empirisch,0.85,"Das Paper untersucht klassische ML-Systeme (Gesichtserkennung, Content-Moderation, Geschlechtsklassifikation) und deren diskriminierende Auswirkungen auf LGBTQ+-Personen. TECHNIK_OK durch KI_Sonstige (algorithmische Systeme); SOZIAL_OK durch Bias_Ungleichheit (algorithmische Marginalisierung), Gender (queere Identitäten, heteronormative Annahmen) und Diversitaet (LGBTQ+-Community). Feministisch wird verneint, da keine expliziten feministischen Theorien oder Autorinnen erwähnt werden.",8,10,80.00%
BTLTEA6Y,Decision support and algorithmic support: The construction of algorithms and professional discretion in social work,Meilvang (2024),Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Include,Nein,Not relevant topic,,Unclear,Theoretisch,0.95,"Das Paper analysiert algorithmische Entscheidungsunterstützungssysteme (KI_Sonstige) in der dänischen Kinder- und Familiensozialarbeit (Soziale_Arbeit) kritisch. Es untersucht, wie diese Systeme professionelle Diskretion von Sozialarbeiter:innen beeinflussen und umstrukturieren. Beide Bedingungen (TECHNIK und SOZIAL) sind klar erfüllt.",9,10,90.00%
C325Y32P,AI for impact: The PRISM framework for responsible AI in social innovation,World Economic Forum (2024),Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Konzept,Konzept,0.78,"Das Paper stellt ein Framework (PRISM) für verantwortungsvolle KI-Nutzung in sozialen Innovationsbereichen vor. Es adressiert KI-Kompetenzen (Readiness Assessment, Adoption Pathways) und ethische KI-Adoption (Fairness). Der direkte Bezug zu Social Services/Social Innovation und sozialen Dienstleistungsorganisationen erfüllt das Kriterium Soziale_Arbeit. Technik (AI_Literacies, KI_Sonstige) und Sozial (Soziale_Arbeit, Fairness) sind beide erfüllt → Include.",5,10,50.00%
C485NKYA,AI Countergovernance: Lessons Learned from Canada and Paris,Attard-Frost (2025),Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Include,Nein,Not relevant topic,,Unclear,Konzept,0.78,"Das Paper behandelt kritische KI-Literacy-Programme (AI_Literacies) und algorithmische Systeme im gesellschaftlichen Kontext (KI_Sonstige). Es thematisiert explizit strukturelle Ungleichheiten bezüglich Rasse, Gender und Arbeit (Bias_Ungleichheit, Gender). Die Technik-Bedingung (AI_Literacies, KI_Sonstige) und Sozial-Bedingung (Bias_Ungleichheit, Gender) sind beide erfüllt → Include.",7,10,70.00%
CF6T2RD7,Artificial intelligence in social work: Emerging ethical issues,Reamer (2023),Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Exclude,Include,Nein,Duplicate,,Theoretisch,Konzept,0.97,"Das Paper behandelt substantiell KI in der Sozialen Arbeit mit Fokus auf ethische Herausforderungen, algorithmischen Bias, Fairness und AI Literacy in der Ausbildung. Alle Kernkategorien (Technik: AI_Literacies, KI_Sonstige; Sozial: Soziale_Arbeit, Bias_Ungleichheit, Fairness) sind klar erfüllt. Es handelt sich um ein konzeptionelles Paper mit konkretem Implementierungsprotokoll.",5,10,50.00%
CHJQ52DC,"AI Gender Bias, Disparities, and Fairness: Does Training Data Matter?",Latif (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Include,Include,Ja,,,Experimentell,Empirisch,0.95,"Das Paper untersucht empirisch Gender Bias in LLMs (BERT, GPT-3.5) durch Analyse von Studentenantworten. Technik-Kriterien erfüllt durch Generative_KI (GPT-3.5) und KI_Sonstige (BERT Fine-tuning). Sozial-Kriterien erfüllt durch substantielle Behandlung von Gender-Bias, Ungleichheit und algorithmischer Fairness (spezifische Metriken: MSG, EO). Include-Entscheidung ist klar konsistent.",8,10,80.00%
CLADZZKS,Conceptualizing AI literacy: An exploratory review,Ng (2021),Ja,Nein,Ja,,,Ja,,,Nein,,,Ja,,,Nein,,,Ja,,,Ja,,,Ja,,,Nein,,,Ja,,,Include,,,,,Konzept,,,,0,0,
CLKAD87H,Responsible prompting recommendation: Fostering responsible AI practices in prompting-time,James (2025),Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Experimentell,Empirisch,0.78,"Das Paper behandelt substantiell Prompting-Strategien (Prompt Engineering, Recommender System), Generative KI (LLMs) und AI Literacy (Bewusstsein für Responsible AI bei Novizen). Es adressiert Fairness und Bias durch den Fokus auf 'responsible AI practices', schädliche Inhalte und soziale Werte in Prompts. Soziale Arbeit wird im Abstract nur als potenzielle Anwendungsdomäne erwähnt, nicht substantiell behandelt. TECHNIK_OK und SOZIAL_OK sind erfüllt.",7,10,70.00%
CSJS9JGH,"AI gender bias, disparities, and fairness: Does training data matter?",Latif (2023),Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Exclude,Include,Nein,Not relevant topic,,Empirisch,Empirisch,0.92,"Das Paper untersucht empirisch Geschlechterbias in KI-Bewertungssystemen (BERT, GPT-3.5) und analysiert den Einfluss von Trainingsdaten auf Gender-Disparitäten. Es werden explizit Fairness-Metriken und Bias-Metriken angewendet. Technik-Bedingung erfüllt durch Generative_KI und KI_Sonstige; Sozial-Bedingung durch Gender, Bias_Ungleichheit und Fairness. Decision: Include.",8,10,80.00%
CY5IMM6G,Artificial Intelligence (AI) literacy for social work: Implications for core competencies,Ahn et al (2025),Ja,Ja,,Ja,,,Nein,,,Nein,,,Ja,,,Ja,,,Ja,,,Nein,,,Ja,,,Nein,,,Ja,,Exclude,Include,Nein,Duplicate,,,Konzept,0.98,"Das Paper entwickelt explizit ein Framework zur Integration von KI-Kompetenzen (AI Literacy) in die neun Kernkompetenzen des CSWE-Standards für Soziale Arbeit. Es behandelt substantiell algorithmischen Bias, soziale Ungleichheiten, Diskriminierung sowie Diversität/Inklusion im KI-Kontext. Alle Einschlusskriterien (Technik: AI_Literacies, KI_Sonstige; Sozial: Soziale_Arbeit, Bias_Ungleichheit, Diversitaet, Fairness) sind klar erfüllt.",0,0,
CYZQ6XPK,Evaluating gender bias in large language models via chain-of-thought prompting,Kaneko (2024),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Experimentell,Experimentell,0.95,"Das Paper untersucht explizit Gender Bias in LLMs (Generative_KI) mittels Chain-of-Thought Prompting (Prompting als zentrales Thema). Gender Bias in Sprachmodellen ist substantiell behandelt (Gender, Bias_Ungleichheit). Fairness-Aspekte werden durch Bias-Reduktion adressiert. Beide Bedingungen (TECHNIK: Generative_KI + Prompting; SOZIAL: Bias_Ungleichheit + Gender + Fairness) sind erfüllt → Include.",10,10,100.00%
D2EGAVKZ,Data Feminism for AI,Klein (2024),Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Exclude,Include,Nein,Duplicate,,Theoretisch,Theoretisch,0.95,"Klein & D'Ignazio (Autorinnen des bekannten 'Data Feminism'-Buches) erweitern ihre feministischen Prinzipien explizit auf den KI-Kontext. Das Paper verwendet explizit intersektionale feministische Theorie (D'Ignazio/Crenshaw-Tradition), thematisiert Ungleichheit, Bias und Fairness in KI-Systemen substantiell. TECHNIK_OK via KI_Sonstige; SOZIAL_OK via Feministisch, Bias_Ungleichheit, Diversitaet, Fairness.",7,10,70.00%
D4FY2S3R,Künstliche Intelligenz in der Sozialen Arbeit – Zwischen Bedenken und Optionen,Gravelmann (2024),Ja,Ja,,Ja,,,Nein,,,Nein,,,Ja,,,Ja,,,Nein,,,Nein,,,Nein,,,Nein,,,Nein,,Exclude,Include,Nein,No full text,,,Konzept,0.88,"Das Paper behandelt KI in der Sozialen Arbeit direkt und substantiell: Es diskutiert Risiken, Potenziale und Implementationsstrategien von KI in sozialarbeiterischen Praxisfeldern (KI_Sonstige, Soziale_Arbeit). Der Fokus auf reflektierte Nutzung und professionellen Diskurs weist auf AI_Literacies hin. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt, daher Include.",0,0,
DA6T4Z5B,Feminist Data Set,Sinders (2017),Ja,Ja,,Nein,,,Nein,,,Ja,,,Ja,,,Nein,,,Ja,,,Ja,,,Ja,,,Ja,,,Nein,,Exclude,Include,Nein,Wrong publication type,,,Konzept,0.78,"Das Projekt adressiert kritische Prompting-Praktiken und KI-Entwicklungsprozesse (Datensammlung, Labeling, Training) durch feministische und intersektionale Linsen. Es behandelt Bias in KI-Systemen substantiell und verwendet explizit feministische Theorie und Methodik. TECHNIK_OK (Prompting, KI_Sonstige) und SOZIAL_OK (Bias_Ungleichheit, Gender, Diversitaet, Feministisch) sind erfüllt.",0,0,
DGLWM93D,Voll (dia)logisch? Ein Werkstattbericht über den Einsatz von generativer KI in der Hochschulbildung für Soziale Arbeit – Curriculare Überlegungen und veränderte Akteurskonstellationen,Engelhardt (2025),Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Include,Include,Ja,,,Theoretisch,Konzept,0.95,"Das Paper behandelt substantiell generative KI und Prompting als metakognitive Kompetenz in der Hochschulbildung für Soziale Arbeit. Alle drei Technik-Kategorien (AI_Literacies, Generative_KI, Prompting) sind klar erfüllt. Der direkte Bezug zur Sozialen Arbeit (Hochschulbildung für Soziale Arbeit, curriculare Integration) erfüllt die Sozial-Bedingung. Beide Bedingungen für Include sind gegeben.",7,10,70.00%
DJEVSR8D,AI FORA – Artificial Intelligence for Assessment: Fairness bei der Verteilung öffentlicher sozialer Leistungen,Ahrweiler (2025),Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Exclude,Include,Nein,No full text,,Unclear,Empirisch,0.92,"Das Paper untersucht KI-gestützte Sozialleistungsbewertungen in neun Ländern (KI_Sonstige). Es hat direkten Bezug zur sozialen Arbeit (Verteilung staatlicher Sozialleistungen), thematisiert Fairness algorithmischer Systeme und Ungleichheit (kultur-/kontextabhängige Gerechtigkeitskriterien) sowie Diversität (vulnerable Gruppen, partizipative Entwicklung). Beide Bedingungen (Technik + Sozial) sind klar erfüllt.",7,10,70.00%
DUV4TUG3,Improving diversity of demographic representation in people entities in Large Language Models,Lahoti (2023),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Include,Include,Ja,,,Experimentell,Experimentell,0.92,"Das Paper behandelt substantiell Prompting (CCSV-Methode) und generative KI (LLMs). Es adressiert demografische Diversität und Repräsentation in LLM-Outputs, was Bias/Ungleichheit, Diversität und algorithmische Fairness umfasst. Die CCSV-Methode als Prompt-Engineering-Strategie zur Verbesserung demographischer Balance ist der Kernbeitrag. Beide Bedingungen (TECHNIK + SOZIAL) sind erfüllt.",7,10,70.00%
DWS4KXBW,Towards Substantive Equality in Artificial Intelligence: Transformative AI Policy for Gender Equality and Diversity,Ovalle (2024),Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Include,Include,Ja,,,Konzept,Konzept,0.85,"Das Paper behandelt KI-Systeme (KI_Sonstige) im Kontext von Gender-Gleichberechtigung, Diversität, Bias und Fairness. Es entwickelt einen Policy-Rahmen für substantielle Gleichberechtigung in KI-Systemen, der strukturelle Ungleichheiten und algorithmischen Bias adressiert. Technik-Kriterium (KI_Sonstige) und Sozial-Kriterien (Bias_Ungleichheit, Gender, Diversitaet, Fairness) sind klar erfüllt → Include.",7,10,70.00%
DZ39L7GC,Why and What to Teach: AI Curriculum for Elementary School,Kim (2021),Ja,Nein,Ja,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Ja,,,Nein,,,Nein,,,Nein,,,Include,,,,,Konzept,,,,0,0,
E35KJFXB,,Unknown (),Ja,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exclude,,,No full text,,,,,,0,0,
E4G328PD,Clinical trial of an LLM-based conversational AI psychotherapy,Heinz (2025),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,Not relevant topic,Not_relevant_topic,Empirisch,Empirisch,0.85,"Das Paper behandelt einen klinischen RCT eines LLM-basierten Therapie-Chatbots (Generative_KI = Ja). Es besteht kein direkter Bezug zu Sozialer Arbeit, Bias/Ungleichheit, Gender, Diversität, Feminist oder Fairness. Der Fokus liegt auf klinischer Psychotherapie (Psychiatrie/Psychologie), nicht auf sozialarbeiterischer Praxis oder sozialen Ungleichheitsfragen. Die SOZIAL-Bedingung ist nicht erfüllt, daher Exclude.",10,10,100.00%
EB7PZUZZ,Prompten nach Plan: Das PCRR-Framework als pädagogisches Werkzeug für den Einsatz von Künstlicher Intelligenz.,Freinhofer (2025),Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,Other,Not_relevant_topic,Konzept,Konzept,0.92,"Das Paper behandelt substantiell AI Literacy, generative KI (LLMs) und Prompt Engineering im schulischen Kontext. Die Technik-Kriterien sind klar erfüllt. Jedoch fehlen soziale Kategorien: Kein Bezug zu Sozialer Arbeit, Bias/Ungleichheit, Gender, Diversität, feministischer Theorie oder Fairness. Der Bildungskontext allein erfüllt diese sozialen Kriterien nicht. Daher Exclude.",10,10,100.00%
ED6C8LD2,Large Language Models and User Trust: Consequence of Self-Referential Learning Loop and the Deskilling of Health Care Professionals,Choudhury (2024),Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Exclude,Include,Nein,Not relevant topic,,Experimentell,Theoretisch,0.75,"Das Paper behandelt LLMs (Generative_KI) im Gesundheitswesen und thematisiert kritisch Automation Bias und unkritische Nutzung – was AI_Literacies-Kompetenzen und Bias_Ungleichheit berührt. Kein direkter Soziale_Arbeit-Bezug, aber Bias-Aspekte (Automation Bias, Confirmation Bias) erfüllen die SOZIAL-Bedingung. TECHNIK_OK (Generative_KI, AI_Literacies) + SOZIAL_OK (Bias_Ungleichheit) → Include.",8,10,80.00%
